STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-01,70,54
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-02,69,55
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-03,71,60
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-04,68,60
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-05,71,56
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-06,72,59
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-07,76,54
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-08,79,55
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-09,72,54
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-10,77,57
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-11,70,61
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-12,82,62
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-13,85,62
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-14,85,62
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-15,80,63
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-16,69,60
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-17,69,56
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-18,69,55
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-19,67,56
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-20,66,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-21,67,54
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-22,69,52
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-23,67,48
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-24,73,50
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-25,74,53
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-26,65,45
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-27,69,44
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-28,69,60
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-29,66,53
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-09-30,64,51
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-01,64,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-02,59,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-03,64,48
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-04,63,48
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-05,57,40
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-06,57,36
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-07,60,51
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-08,57,40
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-09,58,34
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-10,55,36
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-11,57,33
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-12,55,47
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-13,51,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-14,53,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-15,58,48
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-16,62,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-17,62,49
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-18,55,44
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-19,54,41
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-20,54,38
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-21,56,35
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-22,50,38
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-23,54,35
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-24,48,35
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-25,51,35
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-26,55,43
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-27,60,48
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-28,59,43
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-29,59,40
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-10-31,57,41
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-01,57,38
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-02,53,37
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-03,53,36
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-04,50,44
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-05,49,38
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-06,50,40
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-07,45,30
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-08,41,26
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-09,40,36
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-10,40,38
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-11,42,27
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-12,40,31
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-13,40,31
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-14,46,31
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-15,56,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-16,57,46
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-17,51,43
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-18,47,39
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-19,45,39
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-20,50,40
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-21,54,44
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-22,55,42
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-23,49,38
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-24,47,35
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-25,45,31
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-26,46,28
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-27,49,31
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-28,40,22
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-29,38,20
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-11-30,46,29
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-01,50,41
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-02,49,30
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-03,47,26
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-04,38,25
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-05,37,22
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-06,38,23
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-07,49,36
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-08,52,44
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-09,51,44
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-10,51,45
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-11,50,42
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-12,48,34
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-13,46,42
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-14,47,43
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-15,45,41
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-16,45,37
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-17,48,38
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-18,48,33
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-19,44,33
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-20,37,28
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-21,44,33
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-22,47,40
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-23,46,40
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-24,49,43
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-25,52,48
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-26,52,43
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-27,48,36
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-28,39,30
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-29,34,27
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-30,42,26
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2016-12-31,44,39
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-01,41,33
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-02,44,31
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-03,46,35
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-04,46,34
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-05,39,24
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-06,31,24
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-07,41,31
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-08,44,34
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-09,44,37
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-10,46,35
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-11,49,42
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-12,45,32
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-13,43,32
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-14,41,33
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-15,38,27
NLE00102479,"BERKHOUT, NL",52.6428,4.9789,-2,2017-01-16,37,25
